WELL_ALIAS,SURFACE_LATITUDE,SURFACE_LONGITUDE,BOPD,START_DATETIME_JOB,END_DATETIME_JOB,MOVING_TIME
WELL-1719,2.443334496,117.08172,213,11/22/2023 7:00,11/27/2023 16:00,0.38
WELL-1317,2.530732745,116.9701026,7,11/27/2023 16:00,12/1/2023 0:00,0.51
WELL-533,2.532583089,116.9624797,33,12/1/2023 0:00,12/3/2023 22:30,0.4
WELL-1058,2.532639305,116.9623066,10,12/3/2023 22:30,12/6/2023 3:30,0.51
WELL-1607,2.532893602,116.9622013,12,12/6/2023 3:30,12/8/2023 11:30,0.51
WELL-862,2.535443338,116.9702563,8,12/8/2023 11:30,12/9/2023 19:00,0.51
WELL-1623,2.533162387,116.9575935,5.3,12/9/2023 19:00,12/11/2023 21:30,0.73
WELL-825,2.510217281,116.9916249,22.5,12/11/2023 21:30,12/13/2023 12:00,0.51
WELL-797,2.509751377,117.0026748,3,12/13/2023 12:00,12/15/2023 3:00,0.51
WELL-844,2.498172786,117.0173381,97,12/15/2023 3:00,12/28/2023 15:00,2.07
WELL-1692,2.473796067,117.0041235,25,12/28/2023 15:00,12/30/2023 17:30,0.51
WELL-892,2.485101466,117.0234026,35,12/30/2023 17:30,1/4/2024 20:30,0.92
WELL-1268,2.485346065,117.04426,67.6,1/4/2024 20:30,1/7/2024 18:00,0.51
WELL-976,2.460065296,117.0614945,7,1/7/2024 18:00,1/10/2024 11:00,0.51
WELL-768,2.527123024,116.9704677,60,1/10/2024 11:00,1/17/2024 8:00,1.03
WELL-1611,2.502877827,116.9587593,14,1/17/2024 8:00,1/20/2024 7:00,0.4
WELL-1498,2.531077214,116.9677423,63,1/20/2024 7:00,1/25/2024 14:30,0.77
WELL-1173,2.543678088,116.9470244,100,1/25/2024 14:30,2/4/2024 10:00,1.15
WELL-1526,2.537343796,116.9758838,56,2/4/2024 10:00,2/11/2024 12:30,1.42
WELL-1342,2.520312862,116.9921094,72.3,2/11/2024 12:30,2/18/2024 14:30,1.03
WELL-1008,2.46529519,116.9875532,75,2/18/2024 14:30,2/26/2024 9:30,1.26
WELL-1426,2.464492551,117.0956552,62,2/26/2024 9:30,3/6/2024 20:30,2.09
WELL-1630,2.464397151,117.0956195,24,3/6/2024 20:30,3/8/2024 5:00,0.4
WELL-833,2.444373054,117.1013259,59,3/8/2024 5:00,3/18/2024 17:00,1.42
WELL-1720,2.444805655,117.0988188,71.8,3/18/2024 17:00,3/20/2024 10:00,0.51
WELL-738,2.485311126,117.0807601,37,3/20/2024 10:00,3/22/2024 11:30,0.51
WELL-1681,2.502182603,116.9966954,9,3/22/2024 11:30,3/24/2024 3:00,0.51
WELL-1017,2.502789543,117.0306009,38,3/24/2024 3:00,4/4/2024 0:00,1.03
WELL-1195,2.500393051,117.0510263,41,4/4/2024 0:00,4/6/2024 0:00,0.4
WELL-1046,2.478435113,116.9836027,98,4/6/2024 0:00,4/16/2024 12:00,1.53
WELL-630,2.49000793,117.0344379,44,4/16/2024 12:00,4/29/2024 11:00,1.26
WELL-596,2.512224828,116.9765956,67.9,4/29/2024 11:00,5/1/2024 8:00,0.51
WELL-1041,2.520240493,116.9810437,26.3,5/1/2024 8:00,5/4/2024 15:00,0.51
WELL-1459,2.481112707,117.0412824,98,5/4/2024 15:00,5/12/2024 17:00,1.34
WELL-540,2.444422969,117.0613817,45.7,5/12/2024 17:00,5/14/2024 10:30,0.51
WELL-1466,2.501272886,117.0132901,25.3,5/14/2024 10:30,5/16/2024 6:00,0.51
WELL-1383,2.451851469,117.0761525,47,5/16/2024 6:00,5/28/2024 1:30,1.17
WELL-1646,2.481513881,117.0252208,20,6/11/2024 12:00,6/13/2024 5:00,0.4
WELL-763,2.518413965,117.0036209,9,6/15/2024 4:00,6/17/2024 0:00,0.56
WELL-1250,2.50658902,116.9790786,31.3,6/18/2024 17:00,6/20/2024 1:30,0.51
WELL-1477,2.46881948,117.0588925,58,6/20/2024 1:30,6/23/2024 16:00,0.4
WELL-1595,2.457499156,117.1161839,42,6/23/2024 16:00,7/1/2024 19:00,1.21
WELL-771,2.512067592,116.9988387,33,7/1/2024 19:00,7/3/2024 11:30,0.51
WELL-1732,2.524083291,116.9833096,5,7/3/2024 11:30,7/6/2024 2:30,1
WELL-484,2.502231742,117.02501,126,7/6/2024 2:30,8/6/2024 10:30,0.82
WELL-1449,2.471378238,117.0484872,42,7/7/2024 14:30,7/14/2024 3:00,0.72
WELL-1268,2.485346065,117.04426,58.5,7/14/2024 3:00,7/15/2024 16:00,0.51
WELL-1667,2.521771577,116.9813923,65,7/15/2024 16:00,7/22/2024 14:00,1.24
WELL-1366,2.526480965,116.9727903,9,7/22/2024 14:00,8/19/2024 4:00,1.12
WELL-1549,2.481753239,116.9166634,52,7/25/2024 16:00,8/7/2024 17:00,1.22
WELL-1324,2.519048978,116.988089,48.1,8/7/2024 17:00,8/10/2024 2:00,0.51
WELL-1738,2.527614526,116.9873695,200,8/10/2024 2:00,8/13/2024 21:30,0.61
WELL-1724,2.536667473,116.960466,99.9,8/13/2024 21:30,8/15/2024 14:30,0.61
WELL-1607,2.532893602,116.9622013,30,8/15/2024 14:30,8/17/2024 5:30,0.51
WELL-1366,2.526480965,116.9727903,41,8/19/2024 4:00,8/19/2024 16:00,0.4
WELL-1670,2.5102159,116.9685597,45,8/19/2024 16:00,8/26/2024 9:00,1.12
WELL-807,2.511489794,116.9815189,38,8/26/2024 9:00,9/4/2024 10:30,1.15
WELL-1533,2.503339687,116.9601425,20,9/4/2024 10:30,9/6/2024 4:30,0.51
WELL-1250,2.50658902,116.9790786,23.4,9/6/2024 4:30,9/7/2024 21:30,0.51
WELL-1658,2.504269167,116.9743945,41,9/7/2024 21:30,9/14/2024 21:30,1.12
WELL-1667,2.521771577,116.9813923,111.4,9/20/2024 5:00,9/21/2024 5:00,0.51
WELL-1742,2.507969384,116.9266934,104,9/21/2024 5:00,9/26/2024 3:30,0.41
WELL-1741,2.507944214,116.9265948,98,9/26/2024 3:30,9/30/2024 16:00,0.44
